,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,5235,5250,5150,5150,2018-08-20T09:54:33.0000000Z,2018-08-20T09:20:54.0000000Z,2018-08-20T10:00:00.0000000Z,2018-08-20T09:00:00.0000000Z,17,1348.88845745
1,5245,5245,5235,5235,2018-08-20T10:59:28.0000000Z,2018-08-20T10:50:31.0000000Z,2018-08-20T11:00:00.0000000Z,2018-08-20T10:00:00.0000000Z,5,55.27
2,5265,5270,5245,5245,2018-08-20T11:57:00.0000000Z,2018-08-20T11:00:17.0000000Z,2018-08-20T12:00:00.0000000Z,2018-08-20T11:00:00.0000000Z,24,778.38500982
3,5250,5275,5250,5260,2018-08-20T12:56:47.0000000Z,2018-08-20T12:04:16.0000000Z,2018-08-20T13:00:00.0000000Z,2018-08-20T12:00:00.0000000Z,26,1068.62528767
4,5220,5250,5205,5250,2018-08-20T13:57:52.0000000Z,2018-08-20T13:01:12.0000000Z,2018-08-20T14:00:00.0000000Z,2018-08-20T13:00:00.0000000Z,18,976.45815882
5,5200,5220,5180,5220,2018-08-20T14:59:49.0000000Z,2018-08-20T14:02:09.0000000Z,2018-08-20T15:00:00.0000000Z,2018-08-20T14:00:00.0000000Z,21,314.92518254
6,5255,5255,5170,5200,2018-08-20T15:47:20.0000000Z,2018-08-20T15:24:12.0000000Z,2018-08-20T16:00:00.0000000Z,2018-08-20T15:00:00.0000000Z,9,268.00553841
7,5245,5245,5245,5245,2018-08-20T16:54:36.0000000Z,2018-08-20T16:39:00.0000000Z,2018-08-20T17:00:00.0000000Z,2018-08-20T16:00:00.0000000Z,7,88.43161735
8,5260,5260,5245,5245,2018-08-20T17:41:45.0000000Z,2018-08-20T17:31:09.0000000Z,2018-08-20T18:00:00.0000000Z,2018-08-20T17:00:00.0000000Z,3,346.01334123
9,5205,5205,5205,5205,2018-08-20T21:08:33.0000000Z,2018-08-20T21:08:33.0000000Z,2018-08-20T22:00:00.0000000Z,2018-08-20T21:00:00.0000000Z,1,76.54615237
10,5105,5195,5105,5195,2018-08-20T22:53:01.0000000Z,2018-08-20T22:07:52.0000000Z,2018-08-20T23:00:00.0000000Z,2018-08-20T22:00:00.0000000Z,54,2309.48778093
11,5090,5120,5020,5105,2018-08-20T23:59:21.0000000Z,2018-08-20T23:01:14.0000000Z,2018-08-21T00:00:00.0000000Z,2018-08-20T23:00:00.0000000Z,69,1081.40971978
12,5070,5085,5030,5085,2018-08-21T00:39:46.0000000Z,2018-08-21T00:01:31.0000000Z,2018-08-21T01:00:00.0000000Z,2018-08-21T00:00:00.0000000Z,35,1393.63391879
13,5030,5070,5030,5070,2018-08-21T01:59:14.0000000Z,2018-08-21T01:14:08.0000000Z,2018-08-21T02:00:00.0000000Z,2018-08-21T01:00:00.0000000Z,31,894.94803311
14,5000,5025,5000,5025,2018-08-21T02:58:53.0000000Z,2018-08-21T02:03:00.0000000Z,2018-08-21T03:00:00.0000000Z,2018-08-21T02:00:00.0000000Z,39,1046.19660401
