,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,4.2130000000000005e-05,4.2130000000000005e-05,4.2130000000000005e-05,4.2130000000000005e-05,2018-08-20T01:18:15.9270000Z,2018-08-20T01:18:15.9270000Z,2018-08-20T02:00:00.0000000Z,2018-08-20T01:00:00.0000000Z,1,33.07425169
1,4.253000000000001e-05,4.253000000000001e-05,4.206000000000001e-05,4.2130000000000005e-05,2018-08-20T02:30:13.2000000Z,2018-08-20T02:10:52.4330000Z,2018-08-20T03:00:00.0000000Z,2018-08-20T02:00:00.0000000Z,4,271.07162295
2,4.173e-05,4.252e-05,4.173e-05,4.252e-05,2018-08-20T03:35:03.6100000Z,2018-08-20T03:14:09.9070000Z,2018-08-20T04:00:00.0000000Z,2018-08-20T03:00:00.0000000Z,2,137.44700999
3,4.169e-05,4.173e-05,4.169e-05,4.173e-05,2018-08-20T05:33:36.2670000Z,2018-08-20T05:33:36.2670000Z,2018-08-20T06:00:00.0000000Z,2018-08-20T05:00:00.0000000Z,3,3000.0
4,4.1660000000000004e-05,4.185e-05,4.1660000000000004e-05,4.185e-05,2018-08-20T07:56:59.1930000Z,2018-08-20T07:37:22.7700000Z,2018-08-20T08:00:00.0000000Z,2018-08-20T07:00:00.0000000Z,3,111.259999
5,4.167e-05,4.167e-05,4.167e-05,4.167e-05,2018-08-20T08:50:59.1130000Z,2018-08-20T08:50:59.1130000Z,2018-08-20T09:00:00.0000000Z,2018-08-20T08:00:00.0000000Z,1,3000.0
6,4.217e-05,4.217e-05,4.217e-05,4.217e-05,2018-08-20T12:01:06.5400000Z,2018-08-20T12:01:06.5400000Z,2018-08-20T13:00:00.0000000Z,2018-08-20T12:00:00.0000000Z,1,80.0
7,4.173e-05,4.248000000000001e-05,4.164e-05,4.168000000000001e-05,2018-08-20T13:56:41.3100000Z,2018-08-20T13:13:10.4830000Z,2018-08-20T14:00:00.0000000Z,2018-08-20T13:00:00.0000000Z,16,10548.34441039
8,4.176000000000001e-05,4.176000000000001e-05,4.176000000000001e-05,4.176000000000001e-05,2018-08-20T14:11:33.7200000Z,2018-08-20T14:11:33.7200000Z,2018-08-20T15:00:00.0000000Z,2018-08-20T14:00:00.0000000Z,1,30.53322203
9,4.165e-05,4.239e-05,4.164e-05,4.176000000000001e-05,2018-08-20T15:58:40.7730000Z,2018-08-20T15:09:39.4770000Z,2018-08-20T16:00:00.0000000Z,2018-08-20T15:00:00.0000000Z,4,442.8692287
10,4.165e-05,4.248000000000001e-05,4.164e-05,4.164e-05,2018-08-20T16:57:18.8730000Z,2018-08-20T16:02:17.3130000Z,2018-08-20T17:00:00.0000000Z,2018-08-20T16:00:00.0000000Z,16,10484.19443497
11,4.244e-05,4.244e-05,4.244e-05,4.244e-05,2018-08-20T17:33:49.7500000Z,2018-08-20T17:33:49.7500000Z,2018-08-20T18:00:00.0000000Z,2018-08-20T17:00:00.0000000Z,1,16.62069097
12,4.165e-05,4.168000000000001e-05,4.165e-05,4.168000000000001e-05,2018-08-20T19:28:28.9630000Z,2018-08-20T19:26:57.5670000Z,2018-08-20T20:00:00.0000000Z,2018-08-20T19:00:00.0000000Z,3,1073.42168792
13,4.248000000000001e-05,4.248000000000001e-05,4.164e-05,4.165e-05,2018-08-20T20:55:51.2230000Z,2018-08-20T20:28:46.3900000Z,2018-08-20T21:00:00.0000000Z,2018-08-20T20:00:00.0000000Z,9,9881.56153281
14,4.151e-05,4.155000000000001e-05,4.151e-05,4.155000000000001e-05,2018-08-20T21:34:31.0230000Z,2018-08-20T21:19:57.6000000Z,2018-08-20T22:00:00.0000000Z,2018-08-20T21:00:00.0000000Z,3,497.0
15,4.151e-05,4.152e-05,4.151e-05,4.152e-05,2018-08-20T22:46:08.1500000Z,2018-08-20T22:14:15.0970000Z,2018-08-20T23:00:00.0000000Z,2018-08-20T22:00:00.0000000Z,5,2098.62499132
16,4.151e-05,4.152e-05,4.151e-05,4.152e-05,2018-08-20T23:02:28.2800000Z,2018-08-20T23:02:28.2800000Z,2018-08-21T00:00:00.0000000Z,2018-08-20T23:00:00.0000000Z,2,3322.6087324
17,4.152e-05,4.153e-05,4.152e-05,4.153e-05,2018-08-21T01:23:20.5930000Z,2018-08-21T01:23:20.5930000Z,2018-08-21T02:00:00.0000000Z,2018-08-21T01:00:00.0000000Z,2,190.97077211
18,4.151e-05,4.152e-05,4.151e-05,4.152e-05,2018-08-21T02:54:09.1070000Z,2018-08-21T02:31:58.7800000Z,2018-08-21T03:00:00.0000000Z,2018-08-21T02:00:00.0000000Z,8,2014.23793152
