,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,2.5e-07,2.6e-07,2.4e-07,2.5e-07,2018-11-09T07:59:48.1170000Z,2018-11-09T07:18:00.4970000Z,2018-11-09T08:00:00.0000000Z,2018-11-09T07:00:00.0000000Z,614,473677215.14033127
1,2.5e-07,2.5e-07,2.2999999999999997e-07,2.4e-07,2018-11-09T08:58:26.6900000Z,2018-11-09T08:00:05.9770000Z,2018-11-09T09:00:00.0000000Z,2018-11-09T08:00:00.0000000Z,437,281323238.68458426
2,2.2999999999999997e-07,2.5e-07,2.2999999999999997e-07,2.5e-07,2018-11-09T09:59:40.8300000Z,2018-11-09T09:00:30.7070000Z,2018-11-09T10:00:00.0000000Z,2018-11-09T09:00:00.0000000Z,251,109854745.65031631
3,2.5e-07,2.5e-07,2.2999999999999997e-07,2.2999999999999997e-07,2018-11-09T10:57:52.2800000Z,2018-11-09T10:00:01.1770000Z,2018-11-09T11:00:00.0000000Z,2018-11-09T10:00:00.0000000Z,127,40629467.34054379
4,2.4e-07,2.5e-07,2.4e-07,2.5e-07,2018-11-09T11:57:26.3930000Z,2018-11-09T11:03:48.8230000Z,2018-11-09T12:00:00.0000000Z,2018-11-09T11:00:00.0000000Z,44,19878524.12717271
5,2.5e-07,2.5e-07,2.4e-07,2.4e-07,2018-11-09T12:59:10.6400000Z,2018-11-09T12:02:58.1170000Z,2018-11-09T13:00:00.0000000Z,2018-11-09T12:00:00.0000000Z,78,59415424.62582468
6,2.4e-07,2.5e-07,2.2999999999999997e-07,2.5e-07,2018-11-09T13:59:41.4130000Z,2018-11-09T13:05:28.1700000Z,2018-11-09T14:00:00.0000000Z,2018-11-09T13:00:00.0000000Z,100,25984319.576794
7,2.2999999999999997e-07,2.4e-07,2.2999999999999997e-07,2.4e-07,2018-11-09T14:59:24.1630000Z,2018-11-09T14:00:14.1800000Z,2018-11-09T15:00:00.0000000Z,2018-11-09T14:00:00.0000000Z,66,27152254.5247971
8,2.5e-07,2.5e-07,2.2999999999999997e-07,2.2999999999999997e-07,2018-11-09T15:58:50.1930000Z,2018-11-09T15:02:22.3100000Z,2018-11-09T16:00:00.0000000Z,2018-11-09T15:00:00.0000000Z,41,14673119.23119921
9,2.5e-07,2.5e-07,2.4e-07,2.4e-07,2018-11-09T16:58:12.0230000Z,2018-11-09T16:05:45.1070000Z,2018-11-09T17:00:00.0000000Z,2018-11-09T16:00:00.0000000Z,20,10054161.63687229
10,2.4e-07,2.5e-07,2.4e-07,2.5e-07,2018-11-09T17:57:08.5730000Z,2018-11-09T17:01:00.5600000Z,2018-11-09T18:00:00.0000000Z,2018-11-09T17:00:00.0000000Z,22,8926155.87306643
11,2.5e-07,2.5e-07,2.4e-07,2.4e-07,2018-11-09T18:56:23.1970000Z,2018-11-09T18:13:17.6430000Z,2018-11-09T19:00:00.0000000Z,2018-11-09T18:00:00.0000000Z,22,2525295.83634167
12,2.4e-07,2.4e-07,2.4e-07,2.4e-07,2018-11-09T19:59:39.8000000Z,2018-11-09T19:09:44.5000000Z,2018-11-09T20:00:00.0000000Z,2018-11-09T19:00:00.0000000Z,2,103000.0
13,2.2999999999999997e-07,2.4e-07,2.2999999999999997e-07,2.4e-07,2018-11-09T20:56:40.5770000Z,2018-11-09T20:08:19.3770000Z,2018-11-09T21:00:00.0000000Z,2018-11-09T20:00:00.0000000Z,26,19986240.91559879
14,2.4e-07,2.4e-07,2.2999999999999997e-07,2.4e-07,2018-11-09T21:57:32.8530000Z,2018-11-09T21:09:57.9430000Z,2018-11-09T22:00:00.0000000Z,2018-11-09T21:00:00.0000000Z,21,7065258.38199526
15,2.2999999999999997e-07,2.4e-07,2.2999999999999997e-07,2.4e-07,2018-11-09T22:59:20.4400000Z,2018-11-09T22:05:30.2530000Z,2018-11-09T23:00:00.0000000Z,2018-11-09T22:00:00.0000000Z,18,8186062.56786651
16,2.4e-07,2.4e-07,2.2999999999999997e-07,2.2999999999999997e-07,2018-11-09T23:59:36.0970000Z,2018-11-09T23:05:28.8570000Z,2018-11-10T00:00:00.0000000Z,2018-11-09T23:00:00.0000000Z,27,7538448.95665498
