,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,340,344,336,344,2018-08-20T12:54:34.0000000Z,2018-08-20T12:17:40.0000000Z,2018-08-20T13:00:00.0000000Z,2018-08-20T12:00:00.0000000Z,39,16166.61944174
1,337,339,337,339,2018-08-20T13:59:58.0000000Z,2018-08-20T13:00:58.0000000Z,2018-08-20T14:00:00.0000000Z,2018-08-20T13:00:00.0000000Z,48,16310.81809889
2,336,338,335,338,2018-08-20T14:52:05.0000000Z,2018-08-20T14:00:15.0000000Z,2018-08-20T15:00:00.0000000Z,2018-08-20T14:00:00.0000000Z,14,5688.67886133
3,333,335,333,335,2018-08-20T15:47:21.0000000Z,2018-08-20T15:38:02.0000000Z,2018-08-20T16:00:00.0000000Z,2018-08-20T15:00:00.0000000Z,6,469.61834888
4,341,341,334,336,2018-08-20T16:58:30.0000000Z,2018-08-20T16:02:44.0000000Z,2018-08-20T17:00:00.0000000Z,2018-08-20T16:00:00.0000000Z,25,6449.49243275
5,336,336,336,336,2018-08-20T17:03:48.0000000Z,2018-08-20T17:03:48.0000000Z,2018-08-20T18:00:00.0000000Z,2018-08-20T17:00:00.0000000Z,1,1202.23797481
6,334,339,334,339,2018-08-20T18:26:42.0000000Z,2018-08-20T18:13:47.0000000Z,2018-08-20T19:00:00.0000000Z,2018-08-20T18:00:00.0000000Z,6,417.40567112
7,325,334,325,334,2018-08-20T22:57:25.0000000Z,2018-08-20T22:03:42.0000000Z,2018-08-20T23:00:00.0000000Z,2018-08-20T22:00:00.0000000Z,57,18803.03308892
8,322,325,321,325,2018-08-20T23:24:44.0000000Z,2018-08-20T23:02:07.0000000Z,2018-08-21T00:00:00.0000000Z,2018-08-20T23:00:00.0000000Z,16,5738.35377887
9,323,341,323,330,2018-08-21T00:24:43.0000000Z,2018-08-21T00:08:10.0000000Z,2018-08-21T01:00:00.0000000Z,2018-08-21T00:00:00.0000000Z,31,2356.82305499
10,323,333,323,333,2018-08-21T01:59:58.0000000Z,2018-08-21T01:11:25.0000000Z,2018-08-21T02:00:00.0000000Z,2018-08-21T01:00:00.0000000Z,10,4892.80518923
11,319,323,319,323,2018-08-21T02:42:14.0000000Z,2018-08-21T02:10:29.0000000Z,2018-08-21T03:00:00.0000000Z,2018-08-21T02:00:00.0000000Z,28,13901.2609437
12,321,323,320,320,2018-08-21T03:42:30.0000000Z,2018-08-21T03:10:19.0000000Z,2018-08-21T04:00:00.0000000Z,2018-08-21T03:00:00.0000000Z,12,3762.57562095
