,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,6.2e-06,6.429999999999999e-06,5.5e-06,5.52e-06,2018-09-04T21:59:59.9400000Z,2018-09-04T21:35:25.9700000Z,2018-09-04T22:00:00.0000000Z,2018-09-04T21:00:00.0000000Z,298,2457679.57340011
1,6.789999999999999e-06,7.269999999999999e-06,6.169999999999999e-06,6.19e-06,2018-09-04T22:59:33.8630000Z,2018-09-04T22:00:09.9700000Z,2018-09-04T23:00:00.0000000Z,2018-09-04T22:00:00.0000000Z,970,6663603.4676123
2,6.67e-06,6.81e-06,6.519999999999999e-06,6.78e-06,2018-09-04T23:56:03.4730000Z,2018-09-04T23:00:04.8200000Z,2018-09-05T00:00:00.0000000Z,2018-09-04T23:00:00.0000000Z,320,2015308.68368219
3,5.98e-06,6.67e-06,5.6e-06,6.59e-06,2018-09-05T00:59:45.9470000Z,2018-09-05T00:01:19.1430000Z,2018-09-05T01:00:00.0000000Z,2018-09-05T00:00:00.0000000Z,508,2984473.30040992
4,5.95e-06,6.12e-06,5.7099999999999995e-06,5.98e-06,2018-09-05T01:57:37.0100000Z,2018-09-05T01:00:02.6970000Z,2018-09-05T02:00:00.0000000Z,2018-09-05T01:00:00.0000000Z,271,1621880.28388237
5,5.769999999999999e-06,5.94e-06,5.73e-06,5.94e-06,2018-09-05T02:59:31.1800000Z,2018-09-05T02:00:46.2530000Z,2018-09-05T03:00:00.0000000Z,2018-09-05T02:00:00.0000000Z,156,1104622.96040352
6,6.05e-06,6.2499999999999995e-06,5.78e-06,5.78e-06,2018-09-05T03:59:50.6170000Z,2018-09-05T03:04:45.0030000Z,2018-09-05T04:00:00.0000000Z,2018-09-05T03:00:00.0000000Z,269,2198869.35048855
7,5.929999999999999e-06,6.05e-06,5.7999999999999995e-06,6.019999999999999e-06,2018-09-05T04:59:48.6500000Z,2018-09-05T04:00:40.4170000Z,2018-09-05T05:00:00.0000000Z,2018-09-05T04:00:00.0000000Z,141,1122006.43409158
8,5.83e-06,5.92e-06,5.7e-06,5.88e-06,2018-09-05T05:57:14.1000000Z,2018-09-05T05:00:25.1030000Z,2018-09-05T06:00:00.0000000Z,2018-09-05T05:00:00.0000000Z,147,1175055.00208014
9,5.83e-06,5.929999999999999e-06,5.769999999999999e-06,5.79e-06,2018-09-05T06:59:44.8830000Z,2018-09-05T06:00:15.1400000Z,2018-09-05T07:00:00.0000000Z,2018-09-05T06:00:00.0000000Z,126,729437.78506821
10,5.7199999999999994e-06,5.92e-06,5.7199999999999994e-06,5.83e-06,2018-09-05T07:59:58.0330000Z,2018-09-05T07:00:21.1200000Z,2018-09-05T08:00:00.0000000Z,2018-09-05T07:00:00.0000000Z,161,1119844.27335388
