,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded
0,5.58e-06,5.58e-06,5.52e-06,5.549999999999999e-06,2018-11-09T07:54:24.3530000Z,2018-11-09T07:33:32.7730000Z,2018-11-09T08:00:00.0000000Z,2018-11-09T07:00:00.0000000Z,67,881145.67719507
1,5.48e-06,5.549999999999999e-06,5.48e-06,5.53e-06,2018-11-09T08:49:08.2230000Z,2018-11-09T08:03:16.1400000Z,2018-11-09T09:00:00.0000000Z,2018-11-09T08:00:00.0000000Z,78,581427.76208072
2,5.49e-06,5.51e-06,5.42e-06,5.48e-06,2018-11-09T09:59:05.9530000Z,2018-11-09T09:06:39.1670000Z,2018-11-09T10:00:00.0000000Z,2018-11-09T09:00:00.0000000Z,32,225781.53902994
3,5.459999999999999e-06,5.469999999999999e-06,5.4e-06,5.43e-06,2018-11-09T10:44:51.6500000Z,2018-11-09T10:04:28.5400000Z,2018-11-09T11:00:00.0000000Z,2018-11-09T10:00:00.0000000Z,23,241742.91359308
4,5.51e-06,5.51e-06,5.49e-06,5.51e-06,2018-11-09T11:43:45.7000000Z,2018-11-09T11:03:21.3200000Z,2018-11-09T12:00:00.0000000Z,2018-11-09T11:00:00.0000000Z,9,147508.10746099
5,5.51e-06,5.52e-06,5.5e-06,5.5e-06,2018-11-09T12:59:55.8470000Z,2018-11-09T12:02:00.8370000Z,2018-11-09T13:00:00.0000000Z,2018-11-09T12:00:00.0000000Z,48,1116450.71285476
6,5.45e-06,5.5399999999999995e-06,5.45e-06,5.51e-06,2018-11-09T13:59:42.7270000Z,2018-11-09T13:01:11.8970000Z,2018-11-09T14:00:00.0000000Z,2018-11-09T13:00:00.0000000Z,57,509540.63109724
7,5.459999999999999e-06,5.51e-06,5.459999999999999e-06,5.51e-06,2018-11-09T14:47:33.0530000Z,2018-11-09T14:21:28.6830000Z,2018-11-09T15:00:00.0000000Z,2018-11-09T14:00:00.0000000Z,3,9872.2342883
8,5.469999999999999e-06,5.49e-06,5.469999999999999e-06,5.49e-06,2018-11-09T15:49:16.0230000Z,2018-11-09T15:00:54.6370000Z,2018-11-09T16:00:00.0000000Z,2018-11-09T15:00:00.0000000Z,5,31031.20580019
9,5.49e-06,5.49e-06,5.4400000000000004e-06,5.459999999999999e-06,2018-11-09T16:45:39.3670000Z,2018-11-09T16:02:13.9000000Z,2018-11-09T17:00:00.0000000Z,2018-11-09T16:00:00.0000000Z,7,14957.2503586
10,5.4400000000000004e-06,5.4400000000000004e-06,5.4400000000000004e-06,5.4400000000000004e-06,2018-11-09T17:43:59.5500000Z,2018-11-09T17:35:05.4730000Z,2018-11-09T18:00:00.0000000Z,2018-11-09T17:00:00.0000000Z,7,41833.0
11,5.459999999999999e-06,5.459999999999999e-06,5.459999999999999e-06,5.459999999999999e-06,2018-11-09T19:28:20.0130000Z,2018-11-09T19:20:14.5930000Z,2018-11-09T20:00:00.0000000Z,2018-11-09T19:00:00.0000000Z,2,7344.28644231
12,5.48e-06,5.48e-06,5.48e-06,5.48e-06,2018-11-09T20:45:22.7800000Z,2018-11-09T20:45:22.7800000Z,2018-11-09T21:00:00.0000000Z,2018-11-09T20:00:00.0000000Z,1,297.24771898
13,5.51e-06,5.51e-06,5.43e-06,5.459999999999999e-06,2018-11-09T21:55:08.9900000Z,2018-11-09T21:04:24.9370000Z,2018-11-09T22:00:00.0000000Z,2018-11-09T21:00:00.0000000Z,10,36023.25268379
14,5.43e-06,5.469999999999999e-06,5.43e-06,5.469999999999999e-06,2018-11-09T22:31:13.3770000Z,2018-11-09T22:01:51.2800000Z,2018-11-09T23:00:00.0000000Z,2018-11-09T22:00:00.0000000Z,23,50340.82041428
15,5.43e-06,5.459999999999999e-06,5.41e-06,5.459999999999999e-06,2018-11-09T23:50:35.9730000Z,2018-11-09T23:06:19.2470000Z,2018-11-10T00:00:00.0000000Z,2018-11-09T23:00:00.0000000Z,10,57659.12556202
16,5.45e-06,5.45e-06,5.43e-06,5.43e-06,2018-11-10T00:10:42.2870000Z,2018-11-10T00:08:10.1270000Z,2018-11-10T01:00:00.0000000Z,2018-11-10T00:00:00.0000000Z,3,2602.20994475
17,5.43e-06,5.45e-06,5.43e-06,5.45e-06,2018-11-10T01:27:16.6830000Z,2018-11-10T01:15:34.4330000Z,2018-11-10T02:00:00.0000000Z,2018-11-10T01:00:00.0000000Z,2,2060.0
18,5.459999999999999e-06,5.48e-06,5.4e-06,5.43e-06,2018-11-10T02:48:32.7070000Z,2018-11-10T02:21:57.4900000Z,2018-11-10T03:00:00.0000000Z,2018-11-10T02:00:00.0000000Z,15,369649.23496886
19,5.459999999999999e-06,5.459999999999999e-06,5.459999999999999e-06,5.459999999999999e-06,2018-11-10T04:57:32.1830000Z,2018-11-10T04:30:46.6700000Z,2018-11-10T05:00:00.0000000Z,2018-11-10T04:00:00.0000000Z,5,86349.49952395
20,5.459999999999999e-06,5.459999999999999e-06,5.45e-06,5.459999999999999e-06,2018-11-10T05:57:46.3600000Z,2018-11-10T05:19:41.4570000Z,2018-11-10T06:00:00.0000000Z,2018-11-10T05:00:00.0000000Z,3,27801.83509718
21,5.469999999999999e-06,5.48e-06,5.459999999999999e-06,5.459999999999999e-06,2018-11-10T06:02:24.6000000Z,2018-11-10T06:01:27.6300000Z,2018-11-10T07:00:00.0000000Z,2018-11-10T06:00:00.0000000Z,4,91023.37321915
22,5.459999999999999e-06,5.469999999999999e-06,5.459999999999999e-06,5.469999999999999e-06,2018-11-10T07:39:31.4630000Z,2018-11-10T07:00:28.8370000Z,2018-11-10T08:00:00.0000000Z,2018-11-10T07:00:00.0000000Z,9,5486.5349387
23,5.4e-06,5.4400000000000004e-06,5.4e-06,5.4400000000000004e-06,2018-11-10T08:47:06.6630000Z,2018-11-10T08:14:50.9100000Z,2018-11-10T09:00:00.0000000Z,2018-11-10T08:00:00.0000000Z,9,33224.13596137
24,5.4e-06,5.43e-06,5.379999999999999e-06,5.389999999999999e-06,2018-11-10T09:45:30.7700000Z,2018-11-10T09:03:46.1430000Z,2018-11-10T10:00:00.0000000Z,2018-11-10T09:00:00.0000000Z,12,36509.09915537
25,5.37e-06,5.379999999999999e-06,5.37e-06,5.379999999999999e-06,2018-11-10T10:48:32.2600000Z,2018-11-10T10:01:17.8900000Z,2018-11-10T11:00:00.0000000Z,2018-11-10T10:00:00.0000000Z,12,86817.34342941
26,5.4e-06,5.4e-06,5.389999999999999e-06,5.389999999999999e-06,2018-11-10T11:51:03.2630000Z,2018-11-10T11:32:18.6270000Z,2018-11-10T12:00:00.0000000Z,2018-11-10T11:00:00.0000000Z,2,40376.71380246
27,5.45e-06,5.45e-06,5.45e-06,5.45e-06,2018-11-10T12:13:00.8170000Z,2018-11-10T12:13:00.8170000Z,2018-11-10T13:00:00.0000000Z,2018-11-10T12:00:00.0000000Z,1,450.15351529
28,5.37e-06,5.43e-06,5.37e-06,5.43e-06,2018-11-10T13:50:59.2830000Z,2018-11-10T13:06:24.9300000Z,2018-11-10T14:00:00.0000000Z,2018-11-10T13:00:00.0000000Z,14,87115.75584618
29,5.41e-06,5.41e-06,5.36e-06,5.36e-06,2018-11-10T14:21:54.5670000Z,2018-11-10T14:20:58.0170000Z,2018-11-10T15:00:00.0000000Z,2018-11-10T14:00:00.0000000Z,2,4145.003545
30,5.34e-06,5.41e-06,5.34e-06,5.41e-06,2018-11-10T15:56:46.1900000Z,2018-11-10T15:10:51.9730000Z,2018-11-10T16:00:00.0000000Z,2018-11-10T15:00:00.0000000Z,15,6565.08112885
31,5.4e-06,5.4e-06,5.4e-06,5.4e-06,2018-11-10T16:50:45.6970000Z,2018-11-10T16:34:42.3770000Z,2018-11-10T17:00:00.0000000Z,2018-11-10T16:00:00.0000000Z,4,22858.50425927
32,5.4e-06,5.4e-06,5.37e-06,5.37e-06,2018-11-10T17:40:01.5230000Z,2018-11-10T17:15:24.8300000Z,2018-11-10T18:00:00.0000000Z,2018-11-10T17:00:00.0000000Z,2,11797.66115547
33,5.389999999999999e-06,5.389999999999999e-06,5.389999999999999e-06,5.389999999999999e-06,2018-11-10T19:42:22.8730000Z,2018-11-10T19:42:22.8730000Z,2018-11-10T20:00:00.0000000Z,2018-11-10T19:00:00.0000000Z,1,4436.34146104
34,5.379999999999999e-06,5.379999999999999e-06,5.379999999999999e-06,5.379999999999999e-06,2018-11-10T20:33:28.1300000Z,2018-11-10T20:33:28.1300000Z,2018-11-10T21:00:00.0000000Z,2018-11-10T20:00:00.0000000Z,1,290.54958333
35,5.4e-06,5.4e-06,5.379999999999999e-06,5.379999999999999e-06,2018-11-10T22:56:27.8000000Z,2018-11-10T22:35:11.7070000Z,2018-11-10T23:00:00.0000000Z,2018-11-10T22:00:00.0000000Z,5,27547.18453579
36,5.4e-06,5.4e-06,5.4e-06,5.4e-06,2018-11-10T23:57:04.2200000Z,2018-11-10T23:11:22.8630000Z,2018-11-11T00:00:00.0000000Z,2018-11-10T23:00:00.0000000Z,4,24878.69735232
